PLAYER_NAME,PER,TS%,USG%,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,SEASON
Donovan Mitchell,20.9,.575,30.9,7.6,.163,3.8,-0.2,3.7,3.2,mitchdo01,2024-25
Harrison Barnes,14.9,.656,15.7,5.6,.120,1.7,-1.7,0.0,1.2,barneha02,2024-25
Julius Randle,17.5,.593,25.0,6.2,.134,1.5,-0.2,1.3,1.8,randlju01,2024-25
Amen Thompson,18.7,.602,17.5,8.0,.172,1.4,2.6,4.1,3.4,thompam01,2024-25
Jaren Jackson Jr.,19.6,.591,28.1,6.4,.139,1.6,0.8,2.3,2.4,jacksja02,2024-25
Desmond Bane,17.9,.600,23.3,6.5,.142,2.6,0.6,3.2,2.9,banede01,2024-25
Naz Reid,15.8,.577,21.5,5.7,.125,0.8,0.8,1.6,2.0,reidna01,2024-25
Tyus Jones,14.5,.585,16.2,4.4,.096,1.4,-1.3,0.1,1.1,jonesty01,2024-25
Myles Turner,16.1,.612,20.7,4.7,.104,0.0,0.4,0.4,1.3,turnemy01,2024-25
Evan Mobley,22.3,.633,23.2,9.0,.200,3.1,1.5,4.6,3.6,mobleev01,2024-25
Taurean Prince,9.8,.613,12.5,3.5,.077,-2.0,0.3,-1.7,0.1,princta02,2024-25
Stephon Castle,13.7,.522,26.0,1.1,.025,-1.5,-1.7,-3.2,-0.6,castlst01,2024-25
Deni Avdija,17.7,.605,23.2,5.6,.124,1.5,0.6,2.1,2.2,avdijde01,2024-25
Jaylen Brown,17.8,.555,28.9,5.2,.115,0.4,-0.4,0.0,1.1,brownja02,2024-25
Tim Hardaway Jr.,9.8,.567,15.5,3.5,.077,-1.1,-0.9,-2.1,0.0,hardati02,2024-25
Bennedict Mathurin,13.6,.579,22.8,3.0,.068,-1.3,-1.5,-2.9,-0.5,mathube01,2024-25
Spencer Dinwiddie,13.0,.553,17.9,3.7,.082,-0.9,-0.7,-1.6,0.2,dinwisp01,2024-25
Scottie Barnes,17.8,.523,27.0,3.5,.078,1.5,0.9,2.4,2.3,barnesc01,2024-25
Max Christie,10.4,.570,15.2,2.7,.060,-2.1,-0.5,-2.5,-0.3,chrisma02,2024-25
Max Christie,10.6,.598,13.9,2.0,.081,-1.8,0.0,-1.8,0.0,chrisma02,2024-25
Max Christie,10.2,.543,16.8,0.7,.035,-2.4,-1.0,-3.4,-0.3,chrisma02,2024-25
Josh Giddey,18.1,.570,21.7,5.3,.121,1.9,1.1,3.0,2.7,giddejo01,2024-25
Fred VanVleet,12.8,.515,17.7,5.2,.119,-0.4,1.3,0.9,1.5,vanvlfr01,2024-25
Keyonte George,12.9,.539,24.3,1.1,.024,-0.2,-2.5,-2.7,-0.3,georgke01,2024-25
Dennis Schröder,12.7,.531,21.6,3.2,.073,-1.3,-0.9,-2.2,-0.1,schrode01,2024-25
Dennis Schröder,16.0,.588,23.8,1.6,.099,1.1,-1.1,0.0,0.4,schrode01,2024-25
Dennis Schröder,8.4,.474,21.2,0.2,.012,-4.6,-0.6,-5.2,-0.5,schrode01,2024-25
Dennis Schröder,12.9,.515,19.6,1.5,.100,-0.9,-1.2,-2.1,0.0,schrode01,2024-25
Damian Lillard,21.3,.621,27.8,7.6,.175,4.7,-0.6,4.0,3.2,lillada01,2024-25
Russell Westbrook,14.3,.532,23.8,1.9,.045,-0.9,-0.2,-1.1,0.5,westbru01,2024-25
Kelly Oubre Jr.,13.5,.551,18.9,2.6,.061,-1.7,-0.6,-2.3,-0.1,oubreke01,2024-25
Nickeil Alexander-Walker,11.6,.579,16.0,4.3,.099,-0.8,0.4,-0.4,0.8,alexani01,2024-25
Luguentz Dort,11.3,.586,13.6,5.6,.129,-0.6,0.8,0.2,1.2,dortlu01,2024-25
Onyeka Okongwu,19.0,.634,17.3,7.2,.168,1.2,0.2,1.3,1.7,okongon01,2024-25
Malik Monk,15.0,.549,24.6,2.8,.065,0.3,-1.1,-0.8,0.6,monkma01,2024-25
Jaylen Wells,10.5,.560,15.9,3.5,.083,-1.2,-1.0,-2.2,-0.1,wellsja01,2024-25
Jalen Duren,21.4,.703,16.4,9.2,.218,1.6,1.5,3.1,2.7,durenja01,2024-25
Jalen Wilson,9.5,.541,16.6,1.9,.046,-2.6,-1.3,-3.9,-1.0,wilsoja03,2024-25
Miles Bridges,17.7,.541,28.0,3.2,.075,2.3,-0.5,1.8,2.0,bridgmi02,2024-25
